
LIGAS ENCONTRADAS
======================================================================
ID: 4 | Euro Championship | País: World
ID: 21 | Confederations Cup | País: World
ID: 62 | Ligue 2 | País: France
ID: 61 | Ligue 1 | País: France
ID: 144 | Jupiler Pro League | País: Belgium
ID: 71 | Serie A | País: Brazil
ID: 39 | Premier League | País: England
ID: 78 | Bundesliga | País: Germany
ID: 135 | Serie A | País: Italy
ID: 88 | Eredivisie | País: Netherlands
ID: 94 | Primeira Liga | País: Portugal
ID: 140 | La Liga | País: Spain
ID: 179 | Premiership | País: Scotland
ID: 180 | Championship | País: Scotland
ID: 1 | World Cup | País: World
ID: 803 | Asian Games | País: World
ID: 804 | Caribbean Cup | País: World
ID: 15 | FIFA Club World Cup | País: World
ID: 7 | Asian Cup | País: World
ID: 8 | World Cup - Women | País: World
ID: 330 | Premier League | País: Kuwait
ID: 119 | Superliga | País: Denmark
ID: 120 | 1. Division | País: Denmark
ID: 124 | Denmark Series - Group 1 | País: Denmark
ID: 125 | Denmark Series - Group 2 | País: Denmark
ID: 126 | Denmark Series - Group 3 | País: Denmark
ID: 234 | Liga Nacional | País: Honduras
ID: 381 | HKFA 1st Division | País: Hong-Kong
ID: 380 | Premier League | País: Hong-Kong
ID: 273 | Magyar Kupa | País: Hungary
ID: 271 | NB I | País: Hungary
ID: 272 | NB II | País: Hungary
ID: 390 | Premier League | País: Lebanon
ID: 261 | National Division | País: Luxembourg
ID: 306 | Second Division | País: Qatar
ID: 305 | Stars League | País: Qatar
ID: 40 | Championship | País: England
ID: 46 | EFL Trophy | País: England
ID: 45 | FA Cup | País: England
ID: 47 | FA Trophy | País: England
ID: 48 | League Cup | País: England
ID: 43 | National League | País: England
ID: 41 | League One | País: England
ID: 42 | League Two | País: England
ID: 568 | Eerste Divisie | País: Suriname
ID: 571 | Vysshaya Liga | País: Tajikistan
ID: 586 | West Bank Premier League | País: Palestine
ID: 588 | National League | País: Myanmar
ID: 591 | Pro League | País: Trinidad-And-Tobago
ID: 335 | Cup | País: Ukraine
ID: 336 | Druha Liga | País: Ukraine
ID: 334 | Persha Liga | País: Ukraine
ID: 333 | Premier League | País: Ukraine
ID: 301 | Pro League | País: United-Arab-Emirates
ID: 303 | Division 1 | País: United-Arab-Emirates
ID: 302 | League Cup | País: United-Arab-Emirates
ID: 269 | Segunda División | País: Uruguay
ID: 202 | Ligue 1 | País: Tunisia
ID: 203 | Süper Lig | País: Turkey
ID: 204 | 1. Lig | País: Turkey
ID: 205 | 2. Lig | País: Turkey
ID: 206 | Türkiye Kupası | País: Turkey
ID: 552 | 3. Lig - Group 1 | País: Turkey
ID: 553 | 3. Lig - Group 2 | País: Turkey
ID: 554 | 3. Lig - Group 3 | País: Turkey
ID: 63 | Ligue 3 | País: France
ID: 66 | Coupe de France | País: France
ID: 65 | Coupe de la Ligue | País: France
ID: 67 | National 2 - Group A | País: France
ID: 68 | National 2 - Group B | País: France
ID: 69 | National 2 - Group C | País: France
ID: 70 | National 2 - Group D | País: France
ID: 233 | Premier League | País: Egypt
ID: 370 | Primera Division | País: El-Salvador
ID: 328 | Esiliiga A | País: Estonia
ID: 329 | Meistriliiga | País: Estonia
ID: 326 | Erovnuli Liga 2 | País: Georgia
ID: 570 | Premier League | País: Ghana
ID: 377 | Division d'Honneur | País: Guadeloupe
ID: 339 | Liga Nacional | País: Guatemala
ID: 338 | Primera Division | País: Guatemala
ID: 199 | Cup | País: Greece
ID: 198 | Football League | País: Greece
ID: 197 | Super League 1 | País: Greece
ID: 79 | 2. Bundesliga | País: Germany
ID: 80 | 3. Liga | País: Germany
